,Name,Prices,Description,Origin,Shipping,Link
10,Smart Sweeping Robot Vacuum Cleaner Floor Edge Dust Clean Auto Suction Sweeper,$26.49,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/Smart-Sweeping-Robot-Vacuum-Cleaner-Floor-Edge-Dust-Clean-Auto-Suction-Sweeper/264545679802?hash=item3d9826b9ba:g:RxMAAOSw8V9d25aA
11,Philips Robot Vacuum Cleaner SmartPro Easy Smart Cleaning Wireless FC8792/01,$341.99,None,"From Korea, South","<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/Philips-Robot-Vacuum-Cleaner-SmartPro-Easy-Smart-Cleaning-Wireless-FC8792-01/352570020286?epid=18016478643&hash=item5216cf91be:g:iBoAAOSwm5xcPrUG
12,3IN1 Self Navigated Rechargeable Smart Robot Vacuum Cleaner Mop Auto Sweeper APP,$90.23,None,From China,"<span class=""s-item__shipping s-item__logisticsCost"">+$15.99 shipping</span>",https://www.ebay.com/itm/3IN1-Self-Navigated-Rechargeable-Smart-Robot-Vacuum-Cleaner-Mop-Auto-Sweeper-APP/264394581941?epid=28030649262&hash=item3d8f2527b5:g:nbYAAOSwhY1d~Ib1
13,ILIFE V5s Pro Vacuum Cleaner Robot Sweep and Wet Mop Automatic Recharge. RRP£219,$182.46,None,From United Kingdom,"<span class=""s-item__shipping s-item__logisticsCost"">+$13.02 shipping</span>",https://www.ebay.com/itm/ILIFE-V5s-Pro-Vacuum-Cleaner-Robot-Sweep-and-Wet-Mop-Automatic-Recharge-RRP-219/392694107246?epid=17031290256&hash=item5b6e648c6e:g:ohkAAOSwFlJeTZc~
14,"bObsweep PetHair Robotic Vacuum Cleaner and Mop, Rouge ",$283.10,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$72.61 shipping</span>",https://www.ebay.com/itm/bObsweep-PetHair-Robotic-Vacuum-Cleaner-and-Mop-Rouge/143538868601?epid=4030517195&_trkparms=ispr%3D1&hash=item216b955179:g:VaEAAOSwgGJeURkJ&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qXcqJJJg5bS7%2F5D4sTy74cA3qIQDVtlS%2Fnn8gTx1XfpzNUwNKRUbA8mymxl7PmGppcOJpiyreB%2B9vQaTgWFJ9uDCLZlqf21n1gPZ5HntHmADr2KUO5L8qqlIxOG1VVHHhVMSE5LpsprP5Eu6T9b3c1WDvuU581Zkm%2BeqvognvhVh%2F%2Bmnju7ou%2Bheh4J%2FvlR598jTqzR7djGINmEU7YC3IlTT87J9uocN1d7sbd4dkTDEsDijF4A089aHtr96DO%2BoIru0eDezwQEqrfZtu0XqvizBLrvLUp721m%2F3n9liUHygWMdIF0GQaXMqLGHqDTiyMQ2QPtrKz3TUbMAiNkdPGez%2FBOodIzOrrCJ7kdNZM6dm6YHgHci1NT8iB7iOuYBMLbivuhJPkurxyeYMei8HPbfYM%2Ff0Aje7fEsl5DYmOAFgtpPn%2BRInuf1gxR2qB0k0n2UdUd9zZ8ATh6pXksdCjG8It651SXd6TMd%2Bm%2BeRXyBkhHsUVj5dc6b2bfMy5vOkyMQ0k4NYhTWWExaZqhlUwWyRFUYZVZLP3lYb%2FZnrAXO1lhdYQejb1N55Jv6PHC32nSnDGbRoi55UW503PjgXp%2B56MVizUrFLES78to8scBf0akpijVcdEx3kExpXz6kNAYb3XSeflEfBUzrbwcny02uaUNlw%2FDvz5ikYOBTbg%2BrEPophigdpSCBPfDH9z6PPDYYyyy2SSGo4mVYBKxSvusBgjIeG0pxee7icl6BUQtbSqO%2Fv5%2BE7d98y6BvyBqIbew%3D&checksum=14353886860144d847f04673440ea5e0250f1b734237
15,"bObsweep PetHair Robotic Vacuum Cleaner and Mop, Rouge ",$288.02,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$73.43 shipping</span>",https://www.ebay.com/itm/bObsweep-PetHair-Robotic-Vacuum-Cleaner-and-Mop-Rouge/392698681660?epid=4030517195&_trkparms=ispr%3D1&hash=item5b6eaa593c:g:VaEAAOSwgGJeURkJ&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qXTYAqhnMEGDbPScmOeymaJvnOnM7qzeyyWpBXkpJral6sS0vPazHstDbe4MkmADBrdVxk9WfeJqhcI5rPiy0jW29NCyKMjla85uwqAmYGFCdcnLDQejl6hMzUo3%2BO5%2Fba0D7I6AZXkIQnJPfv%2FeyjbkmFK9BdL4ejr6NYqqj95qwVgT2jdaxR1YKz0sB1ToYOpSlcoA81coZacbROBvNA1xnGwpuJ0JRgSOac%2F5k1r6FPE9J5Yc0j13k6uxt7913NV3SWxPzfNX3Rq93STVfFA60QkJt9lQkhzkivzyorYMaM1km%2BD%2BWmtOPD%2FXB968%2BWcHOIa8hzq3cbLo9%2Br6arU1VtBrL9t4GLfHCYbyhu93wSFceArIfURBdTUG7MFt5vt1BAVJFUQU%2FQF8R3v%2FE8Fuuz6M%2FMlfiXQxEUjFCyDcl%2FiNVClo3JXBfxr5AynA7ltd%2B%2FOFglzrwIOAKh68cRP75jR9m4uzvnyr5I%2BlOb9mu2BPuqiX%2Fn1zVu5P5NZJdvw5btsP99sr0m5u5coYN%2FvtfZKVg9qO0DqBCo5Y6PPY0gzdCIDKPo60xQi1Yt3H7xdpLz5megoYyfnvDmC%2BWzHw4400eqQPe1%2FqyvtEAfydp5kQqjOyhFBD5lbCwScy%2FovY0GBBcHXfCUyeBLlku7E%2Bs%2FFsplnf0%2F4HtP%2BO4e%2BbAPGl7UJaN%2B%2BBIgGgqGZ%2Bbm1IaSZOw0KCVXkKgqKMO9E5dNOQ4vG6Rzpp0UhwOd4t6Ax4KaPJaMAO%2B9z0f7CCMw2u2gHker5VWGurXpO%2FW43&checksum=39269868166044d847f04673440ea5e0250f1b734237
16,"bObi Classic Robotic Vacuum Cleaner and Mop, Snow ",$182.01,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$73.43 shipping</span>",https://www.ebay.com/itm/bObi-Classic-Robotic-Vacuum-Cleaner-and-Mop-Snow/392698316338?epid=20030526321&_trkparms=ispr%3D1&hash=item5b6ea4c632:g:9BwAAOSwJrleUetr&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qUCEbUh43dO%2F83JGJtdU2qoqQCdUnFVbU0wQOYRpfdC4oZxPtkF5YMMJwh45sb2Y57s6R20LuLQwmhQNJVT40x0uHDrFkWMGhf0mHUrTzwqfIz%2BIJ4VNR6r1PnFM74QON1mOD9wBhDLRBjeugwqkUpBha08ICYVkuY7T14L1ykxKufMawKZd0G3wkj6PNW9vShj6lih9dArOtx2fhpzGAcFNh4rNXq1CoVriRxbDEX49AB9XEyDeLMi6LLNaJYHGg0suytJmqZdCjp3lMqKU908dIf228%2B4gu%2FbWcPCTWXg9w0N7aP0JyFs5eH6uGA4NXNd5%2FD%2BFF%2BCFULnGt6N7%2B5kLqaGbrjjI3N676Qus7YaxEZid8aIuASuC7Q1sCWRTK34e3aa9VvIZRv%2FFOGq1Azckhk07G8Imki9jTyrqcLEi%2FmdpNUPw7erYvMKG59P5o6CrhBwM%2BMC%2BNa5vtisl820eyAIdKLy%2FwJmXuwIPNSxZo8C3unPGz9monh4gQaOFzfOGd84r96RN5bw3syHnMIsClasvzbuDiZ5OxxWeUc0y%2Ft7aJwlavbp8AVxoxnJNitVvm0%2BCHXZsueaYLLfk52pBaTRKs%2BtIn82soe%2BqP46JhkvNwN4%2BeRM49vEqaPe7980E6qfUhIXH5jbLsRh%2F842IVzqsNloB14TY7wr0%2BXJ1vF5ykCfqKOnxK4DaMfwMaZkdy7NN6wYfE1mzTsy%2FsMhAKbl9Js1bgmUgswExnZRDHznYtAXB3sd4azuO%2FLSA%2BFlWpzBHZsIxKMwqVrSR8vL&checksum=39269831633844d847f04673440ea5e0250f1b734237
17,Pyle Upgraded Pure Clean Smart Robot Vacuum Sweeper Cleaner White ,$183.13,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$73.43 shipping</span>",https://www.ebay.com/itm/Pyle-Upgraded-Pure-Clean-Smart-Robot-Vacuum-Sweeper-Cleaner-White/392698605637?epid=17027052881&_trkparms=ispr%3D1&hash=item5b6ea93045:g:t9YAAOSwEdteUPxT&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qVM5L%2FAy33d2T9%2B8%2FDnFj6a2UTzg9Ayc18bhrYlDaICuqzwoAY86F2QnUOnYPWzlYI2ne4HRcPCdHV0eP%2BYyqeq92XR7Vb1hb3iS7XNvSHW2pJXHmw2U2bBqCNz2dj7kdhXvgcrm6MlMIVCvdLrfrg2ljSC%2FeOgZsrfFTQFe5%2BnmL09eYy%2FW3HgF7tLFBmNr7MPhB%2ByAPiIHhsoBp3SrxwawIIU3Q8BhBmL3EePP3Q%2FYhM0HHf1lkIjFRfEIEVws%2FAREIHRyUr6H7TFChn03O7Wst6DBaXZU5IZsU7LX0Wq9izdHGip%2B%2FsBMBFe8PrVVx9qDIx0wV7UL%2FBD%2BfYf%2BzoSxahp5ooSxdGY3BlFBuSlPWxv%2BC%2BGP6RjlnV4%2FHZV%2B2PlMGQpD%2F%2FLPY%2B%2BZPqJ3qOQU1Ykl%2BMOKRhZAGq5vJiCM4HgEYpY%2FsF5846Gu0j9nuZe0xKOhmXXJ%2BJTxFZE%2B6FyfR2%2BVRpFDEpAV8ZHux6hgsRdtVX6xNeR8pCUBnobCfe5OCkgfTM3f%2FBjCFlWLdEeZnL%2FusAo33tJFkFmviOjo2tr%2BKKQimEL3cJKSmhEcDryLwe1WPN7zPmc3TGQDoeg5BVQxu8vKWmY9pmDOm5FivUiaPRrwEUaAtG5H8EP8Ca%2BUaaxcVZNYEh7WImPjvq3506xr05wghqnVLmHJ3g%2F50e5CcrUFapyAwC563z3TaSCTs%2FEVhNvw0Z1CIjcyqJ5u1QJNDP1OV88yYmUi05Is6gg7OVyn4kesad1ga9osCzWMNOMbiWTFyY%2Bnu10IXvb&checksum=39269860563744d847f04673440ea5e0250f1b734237
18,Intelligent Robot Vacuum Cleaner RC Sweeper w/ Wet Mop Rechargeable Cleaner,$78.61,None,From China,"<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/Intelligent-Robot-Vacuum-Cleaner-RC-Sweeper-w-Wet-Mop-Rechargeable-Cleaner/233425004480?hash=item365936e7c0:g:8BkAAOSwcqFd6cWg
19,Smart Vacuum Cleaner Rechargeable Edge Cleaning Automatic Robot Sweeper,$57.15,None,From China,"<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/Smart-Vacuum-Cleaner-Rechargeable-Edge-Cleaning-Automatic-Robot-Sweeper/223840152682?hash=item341de9ac6a:m:mWh_DyWPAbAzfMa8R2hYWhQ
